time,open,high,low,close,volume
1481594400,0.74968,0.75133,0.74935,0.75007,6839
1481598000,0.75007,0.75029,0.7491,0.74973,5654
1481601600,0.74973,0.75033,0.7494,0.74972,5732
1481605200,0.74972,0.75004,0.74941,0.74958,5267
1481608800,0.74959,0.74974,0.74913,0.74921,4552
1481612400,0.74921,0.74923,0.74855,0.7489,4755
1481616000,0.7489,0.74921,0.74811,0.74864,4731
1481619600,0.74864,0.74912,0.74818,0.74869,5588
1481623200,0.7487,0.74932,0.74779,0.74788,6470
1481626800,0.74789,0.74824,0.74756,0.74816,5682
1481630400,0.74815,0.74858,0.74758,0.74836,5156
1481634000,0.74835,0.74871,0.74787,0.74814,5549
1481637600,0.74814,0.74958,0.74814,0.74932,5155
1481641200,0.74933,0.75115,0.74933,0.75115,7376
1481644800,0.75113,0.75234,0.75032,0.75155,7889
1481648400,0.75152,0.75154,0.74882,0.74944,8489
1481652000,0.74944,0.75076,0.7493,0.74931,7222
1481655600,0.74932,0.74994,0.7492,0.74964,5415
1481659200,0.74964,0.75028,0.74945,0.74955,5284
1481662800,0.74956,0.74978,0.74913,0.74971,3952
1481666400,0.74977,0.75037,0.74957,0.74976,4237
1481670000,0.74977,0.75015,0.74969,0.74985,2063
1481673600,0.74984,0.74995,0.74863,0.74933,1235
1481677200,0.7493,0.74965,0.74898,0.74931,5263
1481680800,0.7493,0.74992,0.74867,0.74871,6805
1481684400,0.74871,0.74894,0.74812,0.74833,6175
1481688000,0.74835,0.74902,0.7482,0.74862,4899
1481691600,0.7486,0.74935,0.74836,0.74922,4579
1481695200,0.74922,0.74939,0.7489,0.7492,4170
1481698800,0.7492,0.74926,0.74866,0.74908,4649
1481702400,0.7491,0.74963,0.74863,0.74947,5281
1481706000,0.74946,0.75073,0.74936,0.7499,6309
1481709600,0.7499,0.75029,0.74947,0.74988,6524
1481713200,0.7499,0.75002,0.74959,0.74964,4928
1481716800,0.74967,0.75039,0.74938,0.75022,5005
1481720400,0.75024,0.75201,0.75013,0.75123,4936
1481724000,0.75128,0.75216,0.75098,0.75123,5251
1481727600,0.75124,0.75211,0.75044,0.7514,6541
1481731200,0.7514,0.75185,0.75058,0.75138,7806
1481734800,0.75137,0.75203,0.75112,0.7517,8040
1481738400,0.75173,0.75244,0.75104,0.75104,6224
1481742000,0.75104,0.75163,0.75081,0.75083,5397
1481745600,0.75082,0.75085,0.74965,0.7505,5873
1481749200,0.749,0.74923,0.74209,0.74221,12724
1481752800,0.74222,0.74297,0.73939,0.741,11573
1481756400,0.74099,0.74165,0.74023,0.74046,4691
1481760000,0.74018,0.74099,0.73963,0.73979,1455
1481763600,0.73979,0.7412,0.73958,0.74096,6065
1481767200,0.74097,0.7415,0.73824,0.74044,8696
1481770800,0.74046,0.74252,0.7396,0.74246,8205
1481774400,0.74246,0.74268,0.74206,0.7424,5790
1481778000,0.74241,0.74253,0.74138,0.74233,6739
1481781600,0.74233,0.74307,0.74193,0.74209,5631
1481785200,0.74207,0.74238,0.74123,0.74137,4939
1481788800,0.74136,0.74277,0.74136,0.74183,6072
1481792400,0.74182,0.74191,0.73987,0.74102,8160
1481796000,0.74101,0.74168,0.73938,0.74148,8410
1481799600,0.74148,0.74153,0.73923,0.7399,7269
1481803200,0.73991,0.74007,0.73865,0.73893,8091
1481806800,0.73893,0.73902,0.73624,0.7374,9404
1481810400,0.7374,0.73967,0.73709,0.73832,8585
