time,open,high,low,close,volume
1706094000,0.65911,0.65951,0.659,0.65944,553
1706094900,0.65943,0.65984,0.65937,0.65975,500
1706095800,0.65977,0.66082,0.65969,0.66034,871
1706096700,0.66034,0.66043,0.66,0.66002,586
1706097600,0.66002,0.66037,0.65998,0.66018,574
1706098500,0.66017,0.66019,0.65964,0.65979,363
1706099400,0.65978,0.65981,0.65948,0.65954,335
1706100300,0.65954,0.65972,0.65933,0.65968,254
1706101200,0.65969,0.6598,0.6592,0.65949,350
1706102100,0.6595,0.65985,0.6595,0.65975,353
1706103000,0.65975,0.65975,0.65918,0.65961,418
1706103900,0.6596,0.65978,0.65957,0.65974,323
1706104800,0.65974,0.66,0.65947,0.65947,400
1706105700,0.65946,0.65978,0.65915,0.6594,457
1706106600,0.65939,0.65983,0.65929,0.65964,604
1706107500,0.65965,0.65978,0.65945,0.65953,538
1706108400,0.65952,0.66035,0.65943,0.66035,953
1706109300,0.66036,0.66155,0.66008,0.66142,1008
1706110200,0.66143,0.66182,0.66087,0.6609,1056
1706111100,0.6609,0.6618,0.66082,0.66158,902
1706112000,0.66157,0.66159,0.66089,0.66136,905
1706112900,0.66137,0.66201,0.66137,0.66192,762
1706113800,0.66193,0.66199,0.66133,0.6615,1172
1706114700,0.66152,0.66152,0.65926,0.65994,2643
1706115600,0.65994,0.66039,0.65905,0.66036,1776
1706116500,0.66037,0.6608,0.66021,0.66078,1506
1706117400,0.66078,0.66094,0.65985,0.66091,1258
1706118300,0.66089,0.66096,0.65964,0.66026,1319
1706119200,0.66027,0.6604,0.6593,0.65941,1338
1706120100,0.65942,0.66036,0.65935,0.66009,1023
1706121000,0.66009,0.66021,0.65954,0.65955,743
1706121900,0.65956,0.66005,0.65937,0.65998,750
1706122800,0.65997,0.66039,0.65991,0.66025,658
1706123700,0.66025,0.66048,0.65987,0.66041,586
1706124600,0.66042,0.66077,0.66035,0.66067,436
1706125500,0.66066,0.66078,0.66036,0.66061,377
1706126400,0.6606,0.6607,0.6592,0.6592,1174
1706127300,0.6592,0.65955,0.65885,0.65931,766
1706128200,0.6593,0.65933,0.65863,0.65879,633
1706129100,0.65879,0.65885,0.65854,0.65876,562
1706130000,0.65876,0.65877,0.65805,0.65812,570
1706130900,0.6581,0.65827,0.6575,0.65798,726
1706131800,0.65799,0.65814,0.65776,0.65813,644
1706132700,0.65812,0.65818,0.65787,0.65798,344
1706133600,0.65798,0.65823,0.65779,0.65783,428
1706134500,0.65782,0.65783,0.65756,0.6576,428
1706135400,0.65759,0.658,0.65753,0.6579,336
1706136300,0.6579,0.6579,0.6575,0.65755,403
1706137200,0.65755,0.65763,0.65735,0.65754,136
1706138100,0.65755,0.65758,0.65744,0.65756,87
1706139000,0.65756,0.65761,0.65741,0.65751,120
1706139900,0.65751,0.65762,0.6574,0.65762,61
1706140800,0.65753,0.65768,0.6572,0.65754,109
1706141700,0.65755,0.65772,0.65755,0.6576,74
1706142600,0.6576,0.65763,0.65743,0.65751,173
1706143500,0.65752,0.65766,0.6574,0.65741,218
1706144400,0.65741,0.65777,0.65741,0.65765,160
1706145300,0.65764,0.65794,0.65763,0.65789,121
1706146200,0.65789,0.65789,0.65754,0.65757,102
1706147100,0.65757,0.65761,0.65727,0.65746,108
1706148000,0.65746,0.65762,0.65703,0.65707,304
1706148900,0.65707,0.65717,0.65671,0.65693,383
1706149800,0.65692,0.65742,0.65692,0.65721,285
