time,open,high,low,close,volume
1642638600,0.72084,0.72093,0.72072,0.72085,172
1642640400,0.72084,0.72163,0.72076,0.721,427
1642642200,0.72101,0.72188,0.72099,0.7215,420
1642644000,0.7215,0.72207,0.7215,0.72199,676
1642645800,0.72199,0.72371,0.72198,0.7236,1628
1642647600,0.7236,0.72558,0.72319,0.7244,1956
1642649400,0.7244,0.72469,0.72357,0.7237,1585
1642651200,0.72371,0.72394,0.72267,0.7231,1237
1642653000,0.72311,0.72368,0.72286,0.72358,844
1642654800,0.72358,0.72401,0.72301,0.7238,957
1642656600,0.72379,0.72399,0.72338,0.72345,813
1642658400,0.72345,0.72365,0.72325,0.72343,665
1642660200,0.72343,0.72373,0.72324,0.72348,554
1642662000,0.72347,0.72372,0.72276,0.72295,836
1642663800,0.72296,0.72314,0.72198,0.72239,1175
1642665600,0.72238,0.72307,0.72229,0.72283,794
1642667400,0.72283,0.72309,0.72258,0.72293,710
1642669200,0.72292,0.72344,0.72276,0.72343,999
1642671000,0.72342,0.72392,0.7232,0.72327,1391
1642672800,0.72328,0.72417,0.72312,0.72378,1490
1642674600,0.72379,0.72379,0.72299,0.72341,1342
1642676400,0.7234,0.72359,0.72271,0.7231,1366
1642678200,0.72309,0.72373,0.72299,0.723,816
1642680000,0.723,0.7239,0.72297,0.72362,970
1642681800,0.72362,0.72378,0.72339,0.72344,871
1642683600,0.72343,0.72422,0.72334,0.72356,1099
1642685400,0.72357,0.72418,0.72356,0.72401,854
1642687200,0.724,0.72412,0.72337,0.72354,877
1642689000,0.72354,0.72418,0.72344,0.72382,1010
1642690800,0.72382,0.72475,0.72373,0.72448,1274
1642692600,0.72448,0.72614,0.72442,0.72571,1884
1642694400,0.72572,0.72595,0.72521,0.72545,1330
1642696200,0.72546,0.72658,0.7251,0.72648,2368
1642698000,0.72647,0.72657,0.72544,0.72626,2121
1642699800,0.72625,0.72756,0.72621,0.72716,2048
1642701600,0.72716,0.72743,0.72627,0.72643,1699
1642703400,0.72642,0.72672,0.72624,0.72636,1142
1642705200,0.72635,0.72676,0.72635,0.72672,1061
1642707000,0.72673,0.72688,0.72577,0.7258,684
1642708800,0.72581,0.72586,0.72512,0.72522,856
1642710600,0.72522,0.72527,0.72481,0.72492,704
1642712400,0.72493,0.72539,0.72443,0.72444,909
1642714200,0.72445,0.72446,0.72385,0.72411,1078
1642716000,0.72412,0.72431,0.72309,0.72322,1362
1642717800,0.72321,0.72325,0.72173,0.72208,1599
1642719600,0.72208,0.72279,0.72208,0.72256,412
1642721400,0.72256,0.72256,0.72206,0.72247,270
1642723200,0.72243,0.72281,0.72224,0.72265,128
1642725000,0.72266,0.72269,0.72224,0.72225,171
1642726800,0.72225,0.7226,0.72096,0.72096,770
1642728600,0.72095,0.72167,0.72038,0.72153,671
1642730400,0.72153,0.72175,0.71997,0.72033,1072
1642732200,0.72032,0.72032,0.7192,0.71946,1120
1642734000,0.71947,0.71968,0.71805,0.71955,2134
1642735800,0.71955,0.7199,0.71888,0.71986,2555
1642737600,0.71986,0.72049,0.71964,0.71983,2097
1642739400,0.71983,0.72003,0.71916,0.71986,1814
1642741200,0.71986,0.71988,0.71903,0.7192,1156
1642743000,0.7192,0.71928,0.71832,0.71908,1466
1642744800,0.71907,0.71932,0.7185,0.71868,960
1642746600,0.71867,0.71904,0.71845,0.71894,964
1642748400,0.71894,0.71912,0.71843,0.71878,935
1642750200,0.71878,0.71958,0.7187,0.71941,913
1642752000,0.71941,0.71968,0.71881,0.71962,788
1642753800,0.71963,0.71976,0.71889,0.71918,1081
1642755600,0.71916,0.71984,0.71871,0.71964,1749
1642757400,0.71965,0.71981,0.71922,0.71967,1348
1642759200,0.71965,0.71984,0.71834,0.71914,1961
1642761000,0.71915,0.71954,0.71875,0.71914,1855
1642762800,0.71913,0.71913,0.71826,0.71864,1505
1642764600,0.71863,0.71911,0.71828,0.71879,1315
1642766400,0.71878,0.71977,0.71859,0.71954,1109
1642768200,0.71952,0.72047,0.71941,0.72044,1030
1642770000,0.72044,0.72045,0.71946,0.71959,1316
1642771800,0.71959,0.71978,0.71912,0.71933,1416
1642773600,0.71932,0.71942,0.71848,0.71861,1515
1642775400,0.7186,0.7194,0.71845,0.71916,1462
1642777200,0.71915,0.72012,0.719,0.72003,1697
1642779000,0.72003,0.72125,0.7197,0.72107,1646
1642780800,0.72108,0.72138,0.71987,0.72074,2010
1642782600,0.72075,0.72085,0.71919,0.71989,3627
1642784400,0.71989,0.72015,0.71835,0.71929,3575
1642786200,0.71928,0.72023,0.71912,0.71983,3716
1642788000,0.71984,0.72061,0.71955,0.72035,2654
1642789800,0.72034,0.72034,0.71904,0.71992,2361
1642791600,0.71992,0.71992,0.71898,0.71924,2088
1642793400,0.71924,0.71954,0.71869,0.7189,1602
1642795200,0.71889,0.71928,0.71858,0.71875,1538
1642797000,0.71874,0.71934,0.71872,0.71884,1439
1642798800,0.71883,0.71908,0.71831,0.71834,1402
1642800600,0.71835,0.71883,0.71735,0.71755,1301
1642802400,0.71755,0.71764,0.71707,0.71736,1746
1642804200,0.71735,0.71799,0.71728,0.7175,1813
1642806000,0.7176,0.7177,0.7173,0.7174,505
1642807800,0.7174,0.71743,0.7171,0.71742,251
1642982400,0.71705,0.71749,0.71702,0.71744,89
1642984200,0.71742,0.71753,0.71731,0.71731,86
1642986000,0.71731,0.7186,0.71727,0.71841,709
1642987800,0.7184,0.71867,0.7181,0.71863,364
1642989600,0.71864,0.71865,0.71781,0.71797,863
1642991400,0.71797,0.71805,0.71759,0.71792,800
1642993200,0.71791,0.71826,0.71749,0.71787,979
1642995000,0.71787,0.71818,0.71765,0.71815,1089
1642996800,0.71815,0.71846,0.71764,0.71835,875
1642998600,0.71836,0.71866,0.71797,0.71805,965
1643000400,0.71806,0.71835,0.71784,0.71804,741
1643002200,0.71805,0.71807,0.71764,0.71795,623
1643004000,0.71795,0.71826,0.71788,0.71797,587
1643005800,0.71797,0.71821,0.71764,0.71775,450
1643007600,0.71776,0.71795,0.71711,0.71713,557
1643009400,0.71712,0.71714,0.71601,0.71638,1149
1643011200,0.71639,0.71644,0.71558,0.71565,1122
1643013000,0.71564,0.71611,0.71557,0.71594,847
1643014800,0.71593,0.71593,0.71525,0.71572,1418
