time,open,high,low,close,volume
1566547200,1.10692,1.1074,1.10653,1.10675,8102
1566561600,1.10674,1.10731,1.10516,1.10634,13374
1566576000,1.10633,1.11475,1.10527,1.11384,26538
1566590400,1.11384,1.11531,1.11333,1.11411,12075
1566777600,1.11498,1.11638,1.11358,1.11432,8979
1566792000,1.11431,1.11481,1.11319,1.11431,9676
1566806400,1.11431,1.11529,1.11106,1.11145,21314
1566820800,1.11145,1.11242,1.11063,1.11113,15237
1566835200,1.11114,1.11242,1.1107,1.11096,19275
1566849600,1.11097,1.11097,1.10941,1.10988,7477
1566864000,1.10994,1.11054,1.10982,1.1103399999999999,3041
1566878400,1.11035,1.1107,1.10978,1.10983,5615
1566892800,1.10983,1.1116,1.10979,1.1113,14147
1566907200,1.1113,1.11151,1.11,1.11086,14008
1566921600,1.11087,1.11091,1.10856,1.10965,16018
1566936000,1.10966,1.10966,1.10871,1.10897,4915
1566950400,1.10889,1.10942,1.10859,1.10879,4318
1566964800,1.10879,1.10901,1.10842,1.10868,4212
1566979200,1.10868,1.10978,1.10825,1.10888,11516
1566993600,1.10887,1.10975,1.108,1.10815,12546
1567008000,1.10816,1.1086,1.10732,1.10786,14264
1567022400,1.10787,1.10856,1.10746,1.10778,6832
1567036800,1.10766,1.10868,1.10766,1.10852,4338
1567051200,1.1085099999999999,1.10873,1.108,1.1081,3280
1567065600,1.10811,1.10858,1.10746,1.10763,13030
1567080000,1.10762,1.10819,1.10689,1.10704,12839
1567094400,1.10706,1.10931,1.10499,1.10529,16856
1567108800,1.10529,1.10584,1.10419,1.10562,7706
1567123200,1.10562,1.10604,1.10516,1.10538,3313
1567137600,1.10537,1.1054,1.10422,1.10447,3732
1567152000,1.10446,1.10516,1.1033,1.10378,12876
1567166400,1.10378,1.10458,1.10339,1.10381,11495
1567180800,1.10381,1.10494,1.09846,1.09874,17488
1567195200,1.09874,1.09944,1.09631,1.09867,10192
1567382400,1.09893,1.09965,1.09821,1.09875,4375
1567396800,1.09875,1.09931,1.09845,1.09878,3984
1567411200,1.09878,1.09924,1.09698,1.09726,8686
1567425600,1.09727,1.09752,1.09578,1.09655,9740
1567440000,1.09656,1.09755,1.09601,1.09733,5744
1567454400,1.09735,1.09743,1.0962,1.0966,3811
1567468800,1.0966,1.09718,1.09513,1.09536,3817
1567483200,1.09536,1.09537,1.09307,1.09406,6540
1567497600,1.09404,1.09513,1.09327,1.0949,15202
1567512000,1.09489,1.09489,1.09259,1.09398,13355
1567526400,1.09398,1.09788,1.09284,1.097,18159
1567540800,1.097,1.09754,1.09647,1.09726,4864
1567555200,1.09726,1.09793,1.09683,1.09741,3493
1567569600,1.09741,1.0979700000000001,1.09722,1.09748,4379
1567584000,1.09747,1.10128,1.09728,1.1007,12715
1567598400,1.1007,1.10233,1.10033,1.10163,12681
1567612800,1.10164,1.10329,1.10098,1.1025800000000001,13303
1567627200,1.1025800000000001,1.10384,1.1022,1.10344,7399
1567641600,1.10352,1.10374,1.10306,1.10341,2572
1567656000,1.10342,1.10391,1.10244,1.10267,6574
1567670400,1.1026799999999999,1.10443,1.10166,1.10374,11826
1567684800,1.10374,1.10671,1.10354,1.10596,15127
1567699200,1.10597,1.10847,1.10351,1.10409,16910
1567713600,1.1041,1.10432,1.1032,1.10341,4289
1567728000,1.10338,1.10384,1.10296,1.10301,3048
1567742400,1.10301,1.10381,1.10299,1.10376,3084
1567756800,1.10375,1.10514,1.1036,1.10368,11268
1567771200,1.10371,1.10465,1.10201,1.10399,16115
1567785600,1.104,1.10571,1.10269,1.1035,15255
1567800000,1.1035,1.10393,1.10232,1.10246,7125
1567987200,1.10248,1.10274,1.10154,1.10174,3677
1568001600,1.10175,1.10294,1.10154,1.10272,4458
1568016000,1.10272,1.10369,1.10224,1.10336,11102
1568030400,1.10336,1.1059,1.1021,1.10432,16438
1568044800,1.10433,1.1068,1.1042,1.10596,16714
1568059200,1.10596,1.10603,1.10447,1.10461,4979
1568073600,1.10456,1.10525,1.10425,1.10428,5894
1568088000,1.10428,1.10471,1.10403,1.10427,4092
1568102400,1.10428,1.10595,1.10364,1.10383,12333
1568116800,1.10383,1.10468,1.10325,1.10399,12170
1568131200,1.10399,1.10519,1.10305,1.10409,16783
1568145600,1.10409,1.1048499999999999,1.1036,1.1042399999999999,6501
1568160000,1.10432,1.10551,1.10355,1.10468,5749
1568174400,1.10468,1.10554,1.10436,1.10526,3996
1568188800,1.10525,1.10534,1.1023,1.10255,9898
1568203200,1.10256,1.10276,1.09965,1.10007,14093
1568217600,1.10006,1.10082,1.09851,1.10071,13584
1568232000,1.1007,1.10139,1.10044,1.101,5128
1568246400,1.10094,1.10141,1.10073,1.10106,3860
1568260800,1.10106,1.10151,1.1008499999999999,1.10139,3625
1568275200,1.10138,1.10324,1.10054,1.1026799999999999,11117
1568289600,1.1026799999999999,1.10693,1.09266,1.09458,43402
1568304000,1.09458,1.10794,1.09401,1.10677,55435
1568318400,1.10677,1.10871,1.10615,1.10634,9790
1568332800,1.10638,1.1066799999999999,1.10553,1.10641,4161
1568347200,1.1064,1.10731,1.10627,1.10693,3373
1568361600,1.10693,1.1109499999999999,1.10677,1.10921,24369
1568376000,1.10923,1.11065,1.10791,1.10875,18907
1568390400,1.10874,1.10882,1.10609,1.10759,18582
1568404800,1.10758,1.10798,1.10666,1.1072,8215
1568592000,1.10721,1.10863,1.1068500000000001,1.10756,6766
1568606400,1.10757,1.10795,1.107,1.10731,4489
1568620800,1.1073,1.10821,1.1058,1.10593,13767
1568635200,1.10592,1.10693,1.10248,1.10267,17569
1568649600,1.10266,1.1027,1.09931,1.10025,19154
1568664000,1.1002399999999999,1.10112,1.09941,1.10037,9106
1568678400,1.10032,1.10116,1.09964,1.10089,11094
1568692800,1.10089,1.10135,1.1001,1.10128,6670
1568707200,1.10127,1.10226,1.09901,1.10143,17805
1568721600,1.10143,1.10322,1.10066,1.10267,16683
1568736000,1.10267,1.10712,1.10206,1.10694,29218
1568750400,1.10694,1.10745,1.10648,1.10719,7692
