time,open,high,low,close,volume
1706095800,1.08874,1.0907,1.08874,1.0902,2080
1706096700,1.09021,1.09062,1.09011,1.09022,1024
1706097600,1.09021,1.09041,1.08997,1.09001,941
1706098500,1.09002,1.09013,1.08949,1.08961,895
1706099400,1.08961,1.0898,1.08926,1.08965,697
1706100300,1.08965,1.08994,1.08937,1.08972,864
1706101200,1.08971,1.08999,1.0893,1.0894,917
1706102100,1.08941,1.08963,1.08933,1.08958,587
1706103000,1.08958,1.09003,1.08903,1.09001,760
1706103900,1.09002,1.09008,1.0890900000000001,1.0892,784
1706104800,1.08919,1.08946,1.08888,1.08919,797
1706105700,1.08919,1.08943,1.08867,1.08874,849
1706106600,1.08872,1.08967,1.08868,1.08942,711
1706107500,1.08944,1.08985,1.08928,1.08941,779
1706108400,1.08941,1.09057,1.08928,1.09054,1254
1706109300,1.09055,1.09128,1.0903,1.09112,1435
1706110200,1.09112,1.09168,1.09078,1.0908,1523
1706111100,1.09081,1.09263,1.09079,1.09242,1325
1706112000,1.09242,1.09242,1.09183,1.0923,1395
1706112900,1.09232,1.0931,1.0923,1.09308,1010
1706113800,1.09308,1.09316,1.09229,1.09251,1726
1706114700,1.0924800000000001,1.0924800000000001,1.0901,1.09027,4285
1706115600,1.09026,1.09048,1.08951,1.0901399999999999,2579
1706116500,1.0901399999999999,1.09069,1.08996,1.09058,2012
1706117400,1.09057,1.09058,1.08949,1.09026,1894
1706118300,1.09026,1.09036,1.08925,1.09,2154
1706119200,1.09001,1.09012,1.08899,1.08918,1929
1706120100,1.08919,1.0904,1.08908,1.09016,1764
1706121000,1.09021,1.09046,1.08973,1.08977,1130
1706121900,1.08976,1.09013,1.08939,1.08998,1169
1706122800,1.08995,1.0901399999999999,1.08948,1.08971,668
1706123700,1.0897000000000001,1.09016,1.08947,1.09012,895
1706124600,1.09012,1.09038,1.09003,1.09016,723
1706125500,1.09017,1.0908,1.09005,1.09047,1116
1706126400,1.09047,1.09054,1.08928,1.08928,1347
1706127300,1.08929,1.08985,1.08897,1.08944,1255
1706128200,1.08944,1.0897000000000001,1.089,1.08903,906
1706129100,1.08904,1.08935,1.08896,1.08919,668
1706130000,1.08919,1.08925,1.08862,1.08866,822
1706130900,1.08865,1.08871,1.08807,1.08854,1024
1706131800,1.08853,1.08879,1.0883,1.08878,1010
1706132700,1.08878,1.08897,1.08863,1.08879,821
1706133600,1.08878,1.08898,1.08863,1.08863,703
1706134500,1.08863,1.08863,1.08828,1.08838,760
1706135400,1.08838,1.08859,1.08828,1.08851,443
1706136300,1.08849,1.08849,1.08784,1.08793,621
1706137200,1.08793,1.08797,1.08771,1.08783,161
1706138100,1.08784,1.0881,1.08779,1.08807,162
1706139000,1.08808,1.08828,1.08807,1.08826,117
1706139900,1.08826,1.08839,1.08824,1.08839,55
1706140800,1.08834,1.08834,1.08795,1.0883,52
1706141700,1.0883,1.08834,1.08825,1.08834,35
1706142600,1.08834,1.08846,1.08834,1.08845,177
1706143500,1.08845,1.08845,1.0883099999999999,1.0883099999999999,103
1706144400,1.0883,1.08857,1.08826,1.08851,92
1706145300,1.08851,1.08853,1.08834,1.08834,135
1706146200,1.08834,1.08834,1.08815,1.08815,56
1706147100,1.08815,1.08815,1.08806,1.08806,44
1706148000,1.08805,1.08806,1.08746,1.08746,287
1706148900,1.08746,1.08751,1.0872,1.08729,409
1706149800,1.08729,1.0876,1.08728,1.08745,422
1706150700,1.08745,1.08762,1.08715,1.08733,421
1706151600,1.08733,1.08734,1.08696,1.08717,494
1706152500,1.08716,1.08727,1.08703,1.08719,473
1706153400,1.0872,1.08763,1.08714,1.08753,451
1706154300,1.08754,1.08779,1.08742,1.08769,324
1706155200,1.08768,1.08789,1.08746,1.08778,344
1706156100,1.08777,1.0878700000000001,1.08762,1.08785,238
1706157000,1.08784,1.08792,1.08754,1.08755,411
1706157900,1.08755,1.08767,1.08741,1.08765,413
1706158800,1.08766,1.08812,1.08766,1.08791,328
1706159700,1.08791,1.08794,1.0878,1.0878700000000001,163
1706160600,1.08788,1.08793,1.08767,1.08781,259
1706161500,1.08781,1.08789,1.08771,1.08773,208
1706162400,1.08772,1.08798,1.08766,1.08798,181
1706163300,1.08797,1.08805,1.08792,1.08797,134
1706164200,1.08796,1.08796,1.08762,1.08767,263
1706165100,1.08766,1.08766,1.08737,1.08748,188
1706166000,1.08747,1.08757,1.08742,1.08752,175
1706166900,1.08753,1.08772,1.08746,1.08769,246
1706167800,1.0877,1.08781,1.08759,1.08777,232
1706168700,1.08778,1.08778,1.0875,1.08775,276
1706169600,1.08777,1.08793,1.08749,1.08786,460
1706170500,1.08785,1.08811,1.08776,1.08811,307
1706171400,1.08811,1.08858,1.08807,1.08847,337
1706172300,1.0884800000000001,1.08858,1.08823,1.08854,340
1706173200,1.08855,1.0889,1.08846,1.08888,482
1706174100,1.08887,1.08906,1.08864,1.08886,487
1706175000,1.08887,1.08888,1.08833,1.08861,729
1706175900,1.0886,1.08895,1.08851,1.08871,662
1706176800,1.0887,1.0891,1.08836,1.08871,1362
1706177700,1.08872,1.08908,1.08822,1.08905,1033
1706178600,1.08904,1.08966,1.08894,1.08947,926
1706179500,1.08948,1.08989,1.08917,1.08983,969
1706180400,1.08982,1.08989,1.08924,1.08924,1052
1706181300,1.08923,1.08984,1.08919,1.08925,794
1706182200,1.08926,1.08969,1.0891,1.08934,871
1706183100,1.08935,1.08983,1.08924,1.08952,867
1706184000,1.08951,1.08977,1.08937,1.08971,940
1706184900,1.0897000000000001,1.08981,1.08921,1.08946,589
1706185800,1.08946,1.08973,1.08911,1.08961,799
1706186700,1.08962,1.08966,1.08914,1.08923,652
1706187600,1.08924,1.08932,1.08894,1.08896,855
1706188500,1.08897,1.08904,1.08874,1.08878,458
1706189400,1.08879,1.08895,1.08853,1.08895,532
1706190300,1.08897,1.08945,1.08893,1.08942,661
1706191200,1.08941,1.08951,1.08897,1.08899,949
1706192100,1.08898,1.08902,1.08854,1.08878,797
1706193000,1.08876,1.08943,1.0887,1.08911,601
1706193900,1.08913,1.08919,1.08849,1.08875,595
1706194800,1.08874,1.08952,1.08865,1.08913,881
1706195700,1.08913,1.09009,1.08838,1.08885,1840
1706196600,1.08883,1.08992,1.087,1.08901,4781
1706197500,1.08902,1.08946,1.08661,1.08786,3986
1706198400,1.08785,1.08785,1.08544,1.08635,4381
1706199300,1.08636,1.08717,1.08554,1.08668,2730
1706200200,1.08668,1.08668,1.08521,1.08581,2818
1706201100,1.08582,1.08611,1.08525,1.08595,2026
1706202000,1.08596,1.08608,1.08449,1.08463,2491
1706202900,1.08462,1.08505,1.08369,1.08434,2464
1706203800,1.08434,1.08448,1.08328,1.08374,2058
1706204700,1.08373,1.08375,1.08286,1.08311,1744
1706205600,1.0831,1.08356,1.08232,1.08347,1750
1706206500,1.08348,1.08388,1.08331,1.08356,1278
1706207400,1.08357,1.08375,1.08328,1.08335,1286
