time,open,high,low,close,volume
1642644000,1.13422,1.1346,1.13422,1.1345399999999999,398
1642645800,1.1345399999999999,1.13513,1.13447,1.13504,559
1642647600,1.13503,1.13614,1.1348799999999999,1.13606,1139
1642649400,1.13605,1.13646,1.1359,1.13594,993
1642651200,1.13593,1.13603,1.13521,1.13527,885
1642653000,1.13528,1.13552,1.13501,1.13542,638
1642654800,1.13542,1.13555,1.13513,1.13533,500
1642656600,1.13532,1.13533,1.13497,1.13526,567
1642658400,1.13528,1.13528,1.1347800000000001,1.13504,404
1642660200,1.13502,1.13514,1.13493,1.13501,341
1642662000,1.135,1.1351,1.13447,1.13485,541
1642663800,1.13486,1.13523,1.1345,1.13491,567
1642665600,1.1349,1.13519,1.13474,1.13492,552
1642667400,1.13491,1.13522,1.13467,1.13494,489
1642669200,1.13493,1.13555,1.13477,1.13555,788
1642671000,1.13554,1.13659,1.13543,1.13589,1417
1642672800,1.13588,1.13682,1.13581,1.13619,1822
1642674600,1.1362,1.13623,1.13517,1.1354,1477
1642676400,1.1353900000000001,1.13561,1.13453,1.13498,1711
1642678200,1.13498,1.13503,1.13427,1.13467,1295
1642680000,1.13466,1.13507,1.1341700000000001,1.1342,1363
1642681800,1.13419,1.13475,1.13409,1.13451,1174
1642683600,1.1345,1.13461,1.13323,1.13379,1514
1642685400,1.13378,1.13412,1.13353,1.13395,963
1642687200,1.13394,1.13406,1.13305,1.13347,1209
1642689000,1.13346,1.13395,1.13334,1.13382,1266
1642690800,1.13381,1.13453,1.1335600000000001,1.13434,1458
1642692600,1.13433,1.13572,1.1341700000000001,1.13508,2900
1642694400,1.13509,1.13568,1.13416,1.13418,1975
1642696200,1.13419,1.13485,1.13312,1.1344,2865
1642698000,1.13439,1.13469,1.13278,1.13377,3004
1642699800,1.13378,1.13526,1.13363,1.13472,3060
1642701600,1.13473,1.13525,1.13349,1.13364,2303
1642703400,1.13363,1.13382,1.13313,1.13348,1526
1642705200,1.13347,1.13411,1.13286,1.13302,1266
1642707000,1.133,1.13335,1.13257,1.13264,942
1642708800,1.13265,1.13287,1.1320000000000001,1.13207,989
1642710600,1.13206,1.13213,1.1314,1.13172,978
1642712400,1.13171,1.1319,1.13155,1.13171,763
1642714200,1.13172,1.1317599999999999,1.13108,1.1311499999999999,880
1642716000,1.13116,1.1318,1.13092,1.13166,1069
1642717800,1.13165,1.13165,1.13024,1.13032,1208
1642719600,1.13032,1.13105,1.13032,1.131,352
1642721400,1.13099,1.13099,1.13045,1.13092,234
1642723200,1.13092,1.13095,1.13086,1.13093,77
1642725000,1.13093,1.13123,1.13091,1.1311499999999999,161
1642726800,1.13113,1.13131,1.13068,1.13113,471
1642728600,1.13113,1.13122,1.1309,1.13122,283
1642730400,1.13123,1.13163,1.13058,1.13058,777
1642732200,1.13057,1.1309,1.13015,1.13032,816
1642734000,1.13031,1.13051,1.13002,1.13041,1022
1642735800,1.13041,1.13171,1.13038,1.13165,953
1642737600,1.13166,1.13187,1.13148,1.13185,588
1642739400,1.13185,1.13343,1.13174,1.13337,1345
1642741200,1.13336,1.13337,1.13253,1.1328,1032
1642743000,1.13279,1.13289,1.13243,1.1325,438
1642744800,1.13249,1.13263,1.13242,1.13247,309
1642746600,1.13246,1.1325,1.13227,1.1323699999999999,374
1642748400,1.13236,1.1324,1.13216,1.13229,252
1642750200,1.1323,1.13252,1.13217,1.13246,510
1642752000,1.13245,1.13275,1.13242,1.13274,638
1642753800,1.13273,1.13301,1.13251,1.13285,827
1642755600,1.13284,1.1335899999999999,1.13235,1.13342,1544
1642757400,1.13341,1.1335,1.13219,1.1328,1197
1642759200,1.13279,1.1339299999999999,1.13275,1.13386,2390
1642761000,1.13385,1.1339299999999999,1.13319,1.13351,1680
1642762800,1.1335,1.13411,1.13304,1.13407,1587
1642764600,1.13407,1.13446,1.13372,1.13385,1403
1642766400,1.13384,1.13408,1.13326,1.13326,1148
1642768200,1.13326,1.13385,1.13314,1.1338300000000001,996
1642770000,1.13382,1.13385,1.13286,1.13289,1006
1642771800,1.13288,1.13306,1.1325,1.13289,1298
1642773600,1.1329,1.1338,1.13254,1.1337,1512
1642775400,1.13369,1.13439,1.13366,1.13374,1465
1642777200,1.13373,1.13498,1.13366,1.13451,1792
1642779000,1.1345,1.1351,1.13419,1.13494,1515
1642780800,1.13493,1.13592,1.13459,1.1355,2060
1642782600,1.1354899999999999,1.1356,1.13397,1.13492,2387
1642784400,1.13492,1.13526,1.13429,1.13431,2922
1642786200,1.13431,1.13493,1.13361,1.1345399999999999,3014
1642788000,1.13453,1.13526,1.13398,1.13421,2037
1642789800,1.1342,1.13465,1.13404,1.13447,1662
1642791600,1.1345,1.13492,1.13389,1.1346,1287
1642793400,1.13461,1.13469,1.13434,1.13448,707
1642795200,1.13447,1.13484,1.1341,1.13461,577
1642797000,1.13461,1.13479,1.13427,1.13435,713
1642798800,1.13436,1.13457,1.13416,1.13423,539
1642800600,1.13422,1.1344,1.134,1.13407,717
1642802400,1.13406,1.13432,1.13375,1.13422,941
1642804200,1.13421,1.1344400000000001,1.13392,1.13405,784
1642806000,1.13404,1.13445,1.13402,1.13421,260
1642807800,1.13421,1.13425,1.13385,1.13409,234
1642982400,1.13377,1.13433,1.13374,1.1341700000000001,154
1642984200,1.13418,1.13421,1.13385,1.13385,189
1642986000,1.13382,1.13442,1.13362,1.1341700000000001,484
1642987800,1.13416,1.13416,1.1339,1.13403,235
1642989600,1.13403,1.13404,1.13327,1.1333199999999999,485
1642991400,1.13333,1.134,1.13318,1.13379,604
1642993200,1.13378,1.13387,1.13326,1.13349,554
1642995000,1.13348,1.13374,1.13328,1.13365,614
1642996800,1.13366,1.13371,1.13319,1.13327,503
1642998600,1.13326,1.13345,1.13314,1.13316,678
1643000400,1.13317,1.13333,1.133,1.13301,407
1643002200,1.133,1.13301,1.13269,1.13282,345
1643004000,1.13282,1.133,1.1327099999999999,1.13288,314
1643005800,1.13289,1.13306,1.13282,1.13291,225
1643007600,1.1329,1.13293,1.13256,1.13258,380
1643009400,1.13256,1.13269,1.13162,1.13172,682
1643011200,1.1317599999999999,1.13219,1.13141,1.1314899999999999,996
1643013000,1.13147,1.13226,1.1314,1.13226,904
1643014800,1.13226,1.13257,1.13191,1.13256,1088
1643016600,1.13258,1.13285,1.13206,1.13232,1223
1643018400,1.13231,1.13235,1.1309,1.13219,2217
1643020200,1.13218,1.13313,1.13151,1.13207,2468
1643022000,1.13206,1.1335600000000001,1.13203,1.13352,2080
1643023800,1.13351,1.1335600000000001,1.13222,1.13245,1556
1643025600,1.13244,1.13274,1.13206,1.13214,1879
1643027400,1.13213,1.13223,1.13134,1.1318,2126
1643029200,1.13181,1.1320999999999999,1.13095,1.13113,1711
1643031000,1.13112,1.13135,1.13007,1.13034,1588
1643032800,1.13033,1.13092,1.1299299999999999,1.13042,1691
1643034600,1.13041,1.13061,1.12961,1.12968,1721
1643036400,1.12969,1.13061,1.12957,1.13035,2029
1643038200,1.13034,1.13064,1.12941,1.1295,2031
1643040000,1.12948,1.13028,1.12927,1.12967,2331
1643041800,1.12965,1.13001,1.12898,1.1298,3215
1643043600,1.1298,1.131,1.1290499999999999,1.1308,3700
1643045400,1.13082,1.13241,1.13038,1.13083,3422
1643047200,1.13083,1.13161,1.13037,1.13103,2089
1643049000,1.13101,1.13143,1.13085,1.13099,1843
1643050800,1.13098,1.13204,1.13087,1.13203,1435
1643052600,1.13203,1.13284,1.13197,1.13273,1113
1643054400,1.13272,1.1333199999999999,1.13268,1.13307,1272
1643056200,1.13307,1.13344,1.13268,1.13276,1264
1643058000,1.13276,1.1333199999999999,1.13219,1.13223,1397
1643059800,1.13224,1.13257,1.13169,1.13191,1146
1643061600,1.1319,1.13205,1.13177,1.13201,769
1643063400,1.1320000000000001,1.13235,1.13187,1.13201,935
1643065200,1.1320000000000001,1.13278,1.13175,1.13247,340
1643067000,1.13246,1.1326100000000001,1.13223,1.13248,173
1643068800,1.13242,1.13242,1.13181,1.13185,86
