time,open,high,low,close,volume
1706094000,0.61263,0.61306,0.61252,0.61297,588
1706094900,0.61296,0.61343,0.61282,0.61334,567
1706095800,0.61337,0.61414,0.61333,0.61375,1191
1706096700,0.61375,0.61381,0.6134,0.6134,894
1706097600,0.6134,0.61366,0.61335,0.6134,637
1706098500,0.61341,0.61345,0.61281,0.61292,511
1706099400,0.61291,0.61295,0.6127,0.61275,385
1706100300,0.61275,0.61305,0.61266,0.61305,360
1706101200,0.61305,0.61311,0.61267,0.61297,589
1706102100,0.61298,0.61328,0.61297,0.61319,375
1706103000,0.61318,0.61318,0.61263,0.61298,406
1706103900,0.61298,0.61315,0.61275,0.6129,475
1706104800,0.61289,0.61316,0.61272,0.61275,451
1706105700,0.61275,0.61304,0.6125,0.61272,596
1706106600,0.61272,0.61312,0.61262,0.61292,531
1706107500,0.61291,0.61294,0.61253,0.61258,482
1706108400,0.61257,0.61344,0.61253,0.61321,737
1706109300,0.61322,0.61406,0.61308,0.61393,856
1706110200,0.61393,0.61408,0.61342,0.61347,856
1706111100,0.61347,0.61459,0.61343,0.6144,795
1706112000,0.6144,0.61446,0.61381,0.61429,779
1706112900,0.61429,0.61479,0.61429,0.61476,636
1706113800,0.61476,0.61481,0.61417,0.61435,1108
1706114700,0.61406,0.61406,0.6127,0.61312,2580
1706115600,0.61313,0.61342,0.61217,0.61339,1846
1706116500,0.6134,0.6137,0.61326,0.6136,1681
1706117400,0.61359,0.61368,0.61275,0.61365,1258
1706118300,0.61367,0.61368,0.61254,0.61278,1166
1706119200,0.61279,0.613,0.61189,0.61206,1334
1706120100,0.61206,0.61275,0.61199,0.61249,1015
1706121000,0.61249,0.61264,0.61207,0.61209,988
1706121900,0.61209,0.61255,0.61194,0.61248,1074
1706122800,0.61248,0.61278,0.61235,0.61269,802
1706123700,0.61268,0.61295,0.6123,0.61289,681
1706124600,0.61289,0.61314,0.61279,0.61299,480
1706125500,0.613,0.61319,0.61276,0.61305,490
1706126400,0.61304,0.61307,0.61175,0.61175,1031
1706127300,0.61174,0.61204,0.6114,0.61191,816
1706128200,0.6119,0.61196,0.61138,0.61157,617
1706129100,0.61157,0.61175,0.61139,0.61165,453
1706130000,0.61165,0.61169,0.61123,0.61126,501
1706130900,0.61126,0.61171,0.61074,0.6112,1201
1706131800,0.6112,0.61133,0.61073,0.61108,1006
1706132700,0.61108,0.61125,0.61097,0.61097,368
1706133600,0.61098,0.6115,0.61094,0.61121,568
