time,open,high,low,close,volume
1642633200,1.2501,1.25082,1.2499,1.25065,406
1642635000,1.2506599999999999,1.25136,1.2506599999999999,1.2513,236
1642636800,1.25121,1.25121,1.25041,1.25042,125
1642638600,1.25042,1.25071,1.25026,1.25071,198
1642640400,1.25072,1.25126,1.25067,1.25125,393
1642642200,1.25125,1.2515100000000001,1.25083,1.25095,422
1642644000,1.25095,1.25095,1.2503,1.25044,698
1642645800,1.25045,1.25078,1.2499500000000001,1.2500200000000001,661
1642647600,1.25003,1.25049,1.24921,1.25008,1092
1642649400,1.25009,1.25062,1.24978,1.25054,966
1642651200,1.25053,1.25108,1.25012,1.25069,762
1642653000,1.25068,1.25068,1.24985,1.2499500000000001,761
1642654800,1.24994,1.25015,1.24927,1.24972,592
1642656600,1.24973,1.24984,1.24915,1.24943,564
1642658400,1.24943,1.24959,1.24925,1.24938,461
1642660200,1.24939,1.24945,1.24913,1.24936,258
1642662000,1.24936,1.24974,1.24912,1.24962,477
1642663800,1.24959,1.24978,1.24908,1.24927,480
1642665600,1.24928,1.24937,1.24869,1.24878,562
1642667400,1.24878,1.24909,1.24853,1.24878,482
1642669200,1.24879,1.2493400000000001,1.2482,1.2490700000000001,761
1642671000,1.24905,1.24918,1.24833,1.24889,1125
1642672800,1.24888,1.2493400000000001,1.24832,1.24877,1452
1642674600,1.24878,1.24965,1.24878,1.24927,1319
1642676400,1.24927,1.24954,1.2487300000000001,1.2490999999999999,1746
1642678200,1.2490999999999999,1.24913,1.24845,1.24864,1305
1642680000,1.24864,1.24906,1.24799,1.24836,1063
1642681800,1.24835,1.24962,1.24823,1.24955,1107
1642683600,1.24954,1.24954,1.24857,1.24888,1126
1642685400,1.24888,1.24911,1.24869,1.2488299999999999,1160
1642687200,1.24882,1.24945,1.24871,1.24922,1063
1642689000,1.24923,1.24935,1.24885,1.24915,935
1642690800,1.24915,1.2494,1.24821,1.24852,1253
1642692600,1.24851,1.2487,1.24756,1.2477800000000001,1722
1642694400,1.24775,1.2485,1.24747,1.24848,1197
1642696200,1.2484899999999999,1.24887,1.24735,1.24745,2364
1642698000,1.24744,1.24852,1.24725,1.24809,2284
1642699800,1.24808,1.24811,1.24536,1.24554,2078
1642701600,1.24556,1.2471700000000001,1.24521,1.2465,2036
1642703400,1.2465,1.24696,1.2460499999999999,1.2462,1594
1642705200,1.24621,1.24646,1.24574,1.24623,1112
1642707000,1.24624,1.24642,1.24576,1.24613,1101
1642708800,1.24611,1.24695,1.24604,1.24652,1451
1642710600,1.24652,1.24684,1.24598,1.24622,1229
1642712400,1.24621,1.24695,1.24566,1.24688,1372
1642714200,1.24688,1.24768,1.24681,1.24704,1635
1642716000,1.24707,1.24866,1.24678,1.24865,1556
1642717800,1.24865,1.25141,1.24841,1.2513,2005
1642719600,1.25131,1.25131,1.25006,1.25039,791
1642721400,1.2504,1.25076,1.2500200000000001,1.2500200000000001,386
1642723200,1.25,1.25003,1.24996,1.25003,23
1642725000,1.25003,1.25003,1.24977,1.2500200000000001,68
1642726800,1.25003,1.25118,1.2499,1.251,852
1642728600,1.25102,1.25137,1.24987,1.24994,520
1642730400,1.24994,1.25182,1.24974,1.25166,1139
1642732200,1.25167,1.25214,1.25122,1.25199,838
1642734000,1.25197,1.25366,1.2519,1.25231,1401
1642735800,1.2523,1.2528000000000001,1.2518799999999999,1.25206,1721
1642737600,1.25207,1.2522199999999999,1.2512699999999999,1.25196,952
1642739400,1.25195,1.2528299999999999,1.25135,1.2518500000000001,1200
1642741200,1.25186,1.25268,1.2516,1.25263,949
1642743000,1.25263,1.25355,1.2524899999999999,1.2527599999999999,1032
1642744800,1.25274,1.2527599999999999,1.2518500000000001,1.25233,670
1642746600,1.25233,1.25262,1.2521,1.25247,658
1642748400,1.25248,1.25286,1.2522,1.25259,712
1642750200,1.25258,1.25258,1.25146,1.25166,650
1642752000,1.25168,1.25244,1.25167,1.25193,567
1642753800,1.25193,1.25217,1.2517,1.25213,685
1642755600,1.25214,1.25257,1.25086,1.25089,1045
1642757400,1.25089,1.25202,1.25078,1.25156,861
1642759200,1.25155,1.25316,1.2511700000000001,1.25264,1802
1642761000,1.25263,1.25304,1.25197,1.25211,1713
1642762800,1.25214,1.25326,1.25214,1.2526,1390
1642764600,1.2526,1.25338,1.25194,1.25237,1061
1642766400,1.25238,1.25285,1.25146,1.25166,1130
1642768200,1.25167,1.25199,1.25062,1.25064,865
1642770000,1.25064,1.25174,1.25049,1.25172,979
1642771800,1.25173,1.25245,1.25163,1.25213,1418
1642773600,1.25213,1.25312,1.25203,1.25254,1586
1642775400,1.25253,1.25284,1.25228,1.2524899999999999,1412
1642777200,1.2525,1.25263,1.25161,1.25196,1798
1642779000,1.25196,1.25281,1.25143,1.25166,1710
1642780800,1.25165,1.2530299999999999,1.25134,1.2517,1769
1642782600,1.25169,1.2542,1.25163,1.25316,3854
1642784400,1.25317,1.2553,1.2530299999999999,1.2545600000000001,4390
1642786200,1.25455,1.25477,1.25233,1.25319,4458
1642788000,1.25317,1.25373,1.25232,1.2527,2949
1642789800,1.2527,1.25465,1.25261,1.25404,2847
1642791600,1.25403,1.25474,1.2539,1.25453,2267
1642793400,1.25454,1.25552,1.25401,1.2552400000000001,2048
1642795200,1.25523,1.25589,1.25467,1.25549,1655
