time,open,high,low,close,volume
1481594400,114.976,115.066,114.774,115.047,10244
1481598000,115.049,115.211,114.97,115.133,9502
1481601600,115.134,115.208,115.046,115.059,8620
1481605200,115.059,115.089,114.91,115.015,7550
1481608800,115.015,115.181,114.962,115.128,6515
1481612400,115.129,115.36,115.061,115.34,7214
1481616000,115.338,115.398,115.148,115.151,5979
1481619600,115.154,115.31,115.114,115.281,6892
1481623200,115.283,115.421,115.248,115.382,8289
1481626800,115.379,115.394,115.237,115.255,6899
1481630400,115.256,115.442,115.242,115.394,5868
1481634000,115.399,115.475,115.371,115.384,5861
1481637600,115.381,115.407,115.212,115.325,5717
1481641200,115.325,115.325,114.962,114.973,7788
1481644800,114.975,115.235,114.975,115.124,9464
1481648400,115.123,115.348,115.118,115.294,9776
1481652000,115.294,115.296,114.971,115.261,8001
1481655600,115.264,115.347,115.211,115.279,5657
1481659200,115.281,115.326,115.152,115.313,5972
1481662800,115.313,115.321,115.212,115.242,4695
1481666400,115.241,115.259,115.069,115.163,4224
1481670000,115.163,115.21,115.098,115.174,3290
1481673600,115.166,115.27,115.132,115.247,1061
1481677200,115.247,115.284,115.112,115.217,6953
1481680800,115.217,115.233,114.999,115.184,8138
1481684400,115.183,115.33,115.125,115.212,6869
1481688000,115.212,115.246,115.076,115.111,7139
1481691600,115.118,115.24,115.118,115.204,5121
1481695200,115.203,115.257,115.149,115.238,4962
1481698800,115.239,115.258,115.144,115.17,6330
1481702400,115.17,115.214,115.089,115.121,6033
1481706000,115.121,115.167,114.863,114.99,7142
1481709600,114.99,115.153,114.95,115.093,8283
1481713200,115.094,115.214,115.053,115.18,6301
1481716800,115.179,115.227,115.029,115.034,5596
1481720400,115.033,115.066,114.877,114.936,6253
1481724000,114.933,115.032,114.892,115.02,5872
1481727600,115.019,115.025,114.768,114.893,7987
1481731200,114.891,115.043,114.851,115.023,8093
1481734800,115.023,115.103,114.892,115.099,8610
1481738400,115.098,115.1,114.948,115.061,6572
1481742000,115.06,115.161,115.037,115.154,6096
1481745600,115.155,115.449,115.085,115.268,7839
1481749200,115.256,116.451,115.256,116.353,15194
1481752800,116.355,117.393,116.276,117.131,13879
1481756400,117.13,117.266,116.952,117.03,8168
1481760000,117.023,117.24,117.006,117.226,2208
1481763600,117.226,117.298,117.099,117.202,7670
1481767200,117.202,117.836,117.198,117.739,11605
1481770800,117.739,117.857,117.402,117.448,10205
1481774400,117.448,117.476,117.19,117.277,9049
1481778000,117.281,117.443,117.259,117.346,8100
1481781600,117.345,117.5,117.243,117.434,7885
1481785200,117.436,117.588,117.419,117.529,7228
1481788800,117.531,117.689,117.368,117.602,7761
1481792400,117.601,117.763,117.583,117.629,9223
1481796000,117.629,117.869,117.568,117.683,10436
1481799600,117.683,117.948,117.683,117.887,9040
1481803200,117.89,118.427,117.885,118.344,10043
1481806800,118.343,118.664,118.257,118.357,11986
1481810400,118.352,118.366,117.97,118.264,10315
1481814000,118.26,118.308,117.656,117.721,12310
1481817600,117.718,118.275,117.658,118.249,11765
1481821200,118.248,118.6,118.246,118.572,12104
1481824800,118.569,118.635,118.32,118.333,11589
1481828400,118.332,118.338,117.833,117.902,9149
1481832000,117.902,118.065,117.788,117.834,7955
1481835600,117.835,117.995,117.818,117.896,8443
1481839200,117.898,118.165,117.898,118.142,8271
1481842800,118.136,118.242,118.097,118.173,5414
1481846400,118.165,118.29,118.155,118.224,1213
1481850000,118.227,118.308,118.193,118.25,8812
1481853600,118.249,118.395,117.958,118.221,9973
1481857200,118.221,118.302,118.083,118.188,8465
1481860800,118.184,118.315,118.13,118.209,6929
1481864400,118.211,118.214,118.11,118.119,5097
1481868000,118.118,118.238,118.083,118.197,5169
1481871600,118.197,118.262,118.091,118.119,5954
1481875200,118.114,118.173,117.975,118.113,7613
1481878800,118.115,118.254,118.115,118.19,7297
1481882400,118.189,118.424,118.188,118.257,9007
1481886000,118.257,118.329,117.963,118.05,7561
1481889600,118.049,118.134,117.913,118.113,9286
1481893200,118.114,118.24,118.066,118.146,6519
1481896800,118.146,118.211,118.061,118.202,7625
1481900400,118.201,118.29,118.057,118.119,8769
1481904000,118.119,118.268,118.081,118.177,10553
1481907600,118.174,118.404,118.086,118.371,10907
1481911200,118.373,118.383,117.483,117.74,13998
1481914800,117.738,117.823,117.468,117.646,10569
1481918400,117.648,117.928,117.612,117.849,10142
1481922000,117.846,118.035,117.801,118.002,9188
1481925600,118.003,118.022,117.898,117.919,7826
1481929200,117.915,118.002,117.893,117.947,2957
1482105600,117.944,117.958,117.851,117.861,881
1482109200,117.862,117.875,117.714,117.804,9063
1482112800,117.805,117.84,117.548,117.651,8057
1482116400,117.651,117.658,117.403,117.54,8625
1482120000,117.54,117.664,117.47,117.573,8075
1482123600,117.579,117.654,117.548,117.571,6603
1482127200,117.567,117.568,117.24,117.29,6902
1482130800,117.292,117.342,117.162,117.205,5803
1482134400,117.206,117.419,117.095,117.132,6967
1482138000,117.134,117.396,116.979,117.343,7847
1482141600,117.343,117.48,117.291,117.46,8019
1482145200,117.46,117.55,117.323,117.497,6968
1482148800,117.499,117.556,117.383,117.384,6515
1482152400,117.384,117.431,117.178,117.294,6857
1482156000,117.294,117.397,117.183,117.257,5829
1482159600,117.255,117.26,117.035,117.18,8786
1482163200,117.18,117.292,117.068,117.19,8757
1482166800,117.192,117.209,116.822,116.925,9418
1482170400,116.922,116.946,116.545,116.6,9522
1482174000,116.599,116.797,116.599,116.717,6567
1482177600,116.72,117.354,116.665,117.195,8283
1482181200,117.19,117.393,117.129,117.224,7863
1482184800,117.229,117.281,116.975,117.124,6443
1482188400,117.125,117.215,117.086,117.095,3153
1482192000,117.061,117.18,117.061,117.084,1145
1482195600,117.084,117.22,116.985,117.014,5896
1482199200,117.014,117.274,116.991,117.263,8218
1482202800,117.263,117.405,117.18,117.249,8081
1482206400,117.249,117.398,117.061,117.318,8772
1482210000,117.319,117.578,117.158,117.23,8149
1482213600,117.229,117.616,117.225,117.531,8175
1482217200,117.53,117.741,117.488,117.684,8358
1482220800,117.684,117.955,117.684,117.827,7807
1482224400,117.827,117.949,117.707,117.889,7917
1482228000,117.891,118.24,117.861,118.169,8549
1482231600,118.169,118.239,117.939,118.076,6640
1482235200,118.076,118.134,117.869,117.911,6772
1482238800,117.913,117.945,117.823,117.912,6258
1482242400,117.912,118.174,117.894,118.091,7964
1482246000,118.09,118.207,117.985,118.054,7822
1482249600,118.053,118.195,118.018,118.075,9164
1482253200,118.076,118.164,117.897,118.075,8496
1482256800,118.075,118.139,117.775,117.846,7828
1482260400,117.849,117.899,117.761,117.789,5737
1482264000,117.79,117.862,117.648,117.823,5499
1482267600,117.824,117.845,117.667,117.8,4855
1482271200,117.8,117.858,117.761,117.819,4806
1482274800,117.818,117.856,117.789,117.844,3434
1482278400,117.84,117.925,117.796,117.869,1274
1482282000,117.87,117.891,117.786,117.83,6783
1482285600,117.829,117.946,117.708,117.928,7754
1482289200,117.928,118.068,117.759,117.78,7164
1482292800,117.78,117.802,117.545,117.682,7262
1482296400,117.681,117.73,117.588,117.671,5736
1482300000,117.675,117.684,117.417,117.482,6090
1482303600,117.483,117.664,117.482,117.66,5365
1482307200,117.661,117.682,117.398,117.438,5501
1482310800,117.438,117.619,117.438,117.588,5953
1482314400,117.586,117.752,117.582,117.653,7304
1482318000,117.654,117.684,117.484,117.534,7210
1482321600,117.534,117.599,117.418,117.452,6644
1482325200,117.453,117.536,117.395,117.429,5575
1482328800,117.427,117.438,117.105,117.274,7910
1482332400,117.277,117.391,117.148,117.178,8129
1482336000,117.178,117.334,117.125,117.253,8049
1482339600,117.252,117.728,117.25,117.728,8480
1482343200,117.724,117.867,117.629,117.784,8009
1482346800,117.785,117.804,117.573,117.587,5413
1482350400,117.588,117.664,117.548,117.596,4866
1482354000,117.597,117.62,117.52,117.548,3984
1482357600,117.55,117.577,117.473,117.534,3899
1482361200,117.533,117.648,117.456,117.549,4551
1482364800,117.537,117.537,117.446,117.474,688
1482368400,117.473,117.634,117.46,117.62,5160
1482372000,117.617,117.71,117.403,117.618,7947
1482375600,117.619,117.649,117.499,117.541,6657
1482379200,117.541,117.642,117.521,117.546,5826
1482382800,117.541,117.602,117.51,117.532,4675
1482386400,117.533,117.61,117.526,117.585,5277
1482390000,117.584,117.675,117.557,117.659,4950
1482393600,117.657,117.743,117.628,117.651,4625
1482397200,117.65,117.696,117.597,117.659,5171
1482400800,117.661,117.741,117.545,117.591,6998
1482404400,117.591,117.666,117.554,117.605,4945
1482408000,117.603,117.612,117.474,117.526,5980
1482411600,117.527,117.687,117.48,117.653,5504
1482415200,117.652,117.705,117.614,117.631,4651
1482418800,117.63,117.876,117.611,117.828,6487
1482422400,117.828,117.834,117.508,117.668,7808
1482426000,117.672,117.672,117.267,117.467,9994
1482429600,117.468,117.571,117.449,117.49,7038
1482433200,117.491,117.678,117.488,117.573,6276
1482436800,117.575,117.678,117.522,117.657,5536
1482440400,117.658,117.691,117.561,117.564,4293
1482444000,117.562,117.621,117.514,117.573,5066
1482447600,117.578,117.578,117.537,117.54,4388
1482451200,117.507,117.592,117.474,117.529,825
1482454800,117.535,117.611,117.522,117.528,5578
1482458400,117.527,117.563,117.446,117.508,6106
1482462000,117.508,117.508,117.445,117.472,5333
1482465600,117.468,117.5,117.452,117.456,5351
1482469200,117.459,117.494,117.453,117.471,2492
1482472800,117.473,117.486,117.381,117.429,3255
1482476400,117.429,117.447,117.381,117.383,3747
1482480000,117.384,117.396,117.295,117.371,4435
1482483600,117.37,117.484,117.354,117.445,4367
1482487200,117.444,117.491,117.36,117.373,5406
1482490800,117.374,117.389,117.289,117.338,5620
1482494400,117.338,117.431,117.316,117.427,5308
1482498000,117.426,117.443,117.331,117.363,5327
1482501600,117.362,117.392,117.292,117.383,6901
1482505200,117.382,117.414,117.303,117.372,5634
1482508800,117.371,117.415,117.347,117.391,7019
1482512400,117.393,117.405,117.168,117.224,7045
1482516000,117.222,117.297,117.181,117.23,6893
1482519600,117.231,117.243,117.173,117.179,6268
1482523200,117.177,117.265,117.173,117.225,2456
1482526800,117.226,117.293,117.218,117.265,2245
1482530400,117.263,117.383,117.255,117.363,2677
1482534000,117.362,117.377,117.166,117.252,1826
1482710400,117.305,117.376,117.112,117.15,482
1482714000,117.243,117.378,117.197,117.309,6031
1482717600,117.312,117.323,117.041,117.084,9319
1482721200,117.085,117.198,117.063,117.132,9101
1482724800,117.132,117.16,117.045,117.047,5556
1482728400,117.05,117.084,117.0,117.046,3477
1482732000,117.047,117.217,117.036,117.185,7980
1482735600,117.178,117.215,117.007,117.13,7256
1482739200,117.121,117.167,117.037,117.126,3801
1482742800,117.128,117.217,117.108,117.157,917
1482746400,117.158,117.168,117.022,117.022,606
1482750000,117.029,117.053,117.01,117.043,232
1482753600,117.023,117.041,116.998,117.041,181
1482757200,117.038,117.148,117.018,117.077,411
1482760800,117.064,117.106,116.997,117.016,91
1482764400,117.021,117.065,117.016,117.016,196
1482768000,117.016,117.033,117.004,117.021,6582
1482771600,117.023,117.028,117.009,117.01,869
1482775200,117.011,117.07,116.999,117.044,152
1482778800,117.032,117.101,117.028,117.093,136
1482782400,117.093,117.15,117.077,117.097,3058
1482786000,117.105,117.105,117.001,117.052,2529
1482789600,117.052,117.066,117.036,117.046,1097
1482793200,117.046,117.084,117.043,117.047,7756
1482796800,117.057,117.122,117.031,117.088,478
1482800400,117.094,117.234,117.068,117.193,8230
1482804000,117.193,117.43,117.183,117.429,9428
1482807600,117.429,117.456,117.334,117.415,7785
1482811200,117.414,117.419,117.318,117.318,7277
1482814800,117.32,117.418,117.314,117.415,6355
1482818400,117.415,117.425,117.325,117.345,6682
1482822000,117.344,117.375,117.307,117.309,5460
1482825600,117.309,117.32,117.248,117.3,4277
1482829200,117.299,117.372,117.285,117.323,4273
1482832800,117.322,117.337,117.202,117.257,5131
1482836400,117.255,117.296,117.221,117.261,4446
1482840000,117.26,117.358,117.231,117.286,3865
1482843600,117.286,117.34,117.285,117.306,4686
1482847200,117.306,117.414,117.295,117.395,4428
1482850800,117.396,117.417,117.352,117.397,5052
1482854400,117.408,117.566,117.383,117.514,5658
1482858000,117.515,117.614,117.502,117.609,5311
1482861600,117.605,117.616,117.505,117.517,4024
1482865200,117.518,117.53,117.437,117.454,3219
1482868800,117.454,117.484,117.434,117.459,3707
1482872400,117.459,117.467,117.411,117.432,3002
1482876000,117.433,117.469,117.424,117.453,4339
1482879600,117.452,117.465,117.413,117.424,2856
1482883200,117.396,117.48,117.393,117.443,760
1482886800,117.444,117.538,117.435,117.481,5341
1482890400,117.482,117.661,117.369,117.586,7903
1482894000,117.586,117.657,117.563,117.651,5705
1482897600,117.654,117.741,117.628,117.67,5275
1482901200,117.67,117.681,117.537,117.574,4369
1482904800,117.574,117.673,117.562,117.673,3641
1482908400,117.673,117.693,117.52,117.533,5417
1482912000,117.533,117.584,117.503,117.555,4381
1482915600,117.553,117.579,117.499,117.509,4491
1482919200,117.509,117.633,117.493,117.621,5612
1482922800,117.621,117.684,117.578,117.656,5652
1482926400,117.655,117.713,117.649,117.685,4182
1482930000,117.685,117.786,117.663,117.762,5147
1482933600,117.76,117.812,117.687,117.722,6442
1482937200,117.722,117.794,117.65,117.788,5496
1482940800,117.789,117.791,117.648,117.676,6282
1482944400,117.679,117.739,117.586,117.643,6150
1482948000,117.643,117.698,117.528,117.673,5399
1482951600,117.668,117.7,117.533,117.541,5456
1482955200,117.54,117.57,117.21,117.214,7055
1482958800,117.215,117.284,117.05,117.179,7764
1482962400,117.178,117.214,117.078,117.193,7741
1482966000,117.196,117.261,117.1,117.257,5335
1482969600,117.228,117.228,116.834,117.05,2214
1482973200,117.053,117.152,116.978,117.083,6186
1482976800,117.083,117.084,116.824,116.971,8979
1482980400,116.973,116.988,116.713,116.744,7998
1482984000,116.745,116.895,116.673,116.854,6661
1482987600,116.855,116.86,116.705,116.732,6830
1482991200,116.733,116.737,116.548,116.714,7007
1482994800,116.713,116.78,116.618,116.692,6401
1482998400,116.692,116.712,116.298,116.353,6313
1483002000,116.355,116.415,116.229,116.364,6614
1483005600,116.366,116.512,116.311,116.512,6648
1483009200,116.512,116.597,116.289,116.342,6712
1483012800,116.341,116.477,116.293,116.384,6209
1483016400,116.383,116.607,116.347,116.57,5760
1483020000,116.57,116.781,116.53,116.769,5646
1483023600,116.771,116.871,116.71,116.79,6375
1483027200,116.79,116.847,116.674,116.704,7180
1483030800,116.698,116.745,116.403,116.403,6770
1483034400,116.4,116.524,116.268,116.343,8168
1483038000,116.34,116.57,116.281,116.502,7279
1483041600,116.498,116.518,116.352,116.451,7598
1483045200,116.452,116.686,116.451,116.644,6249
1483048800,116.638,116.687,116.541,116.615,3995
1483052400,116.615,116.714,116.544,116.546,5571
1483056000,116.494,116.596,116.459,116.542,1069
1483059600,116.544,116.565,116.046,116.305,10910
1483063200,116.322,116.455,116.219,116.225,10008
1483066800,116.226,116.324,116.112,116.29,9202
1483070400,116.29,116.444,116.237,116.411,7481
1483074000,116.41,116.813,116.408,116.696,7561
1483077600,116.696,116.883,116.692,116.718,5972
1483081200,116.716,116.827,116.646,116.679,5843
1483084800,116.681,116.834,116.502,116.785,6315
1483088400,116.786,117.108,116.702,117.089,6835
1483092000,117.09,117.123,116.932,117.079,8669
1483095600,117.08,117.193,116.838,116.842,8942
