time,open,high,low,close,volume
1706094900,147.509,147.54,147.413,147.447,1162
1706095800,147.447,147.523,147.371,147.515,1378
1706096700,147.516,147.565,147.46,147.524,915
1706097600,147.524,147.552,147.46,147.5,748
1706098500,147.501,147.597,147.495,147.579,722
1706099400,147.578,147.615,147.558,147.564,501
1706100300,147.566,147.566,147.476,147.477,466
1706101200,147.476,147.523,147.434,147.51,426
1706102100,147.51,147.511,147.467,147.493,466
1706103000,147.493,147.588,147.487,147.489,630
1706103900,147.49,147.549,147.463,147.508,698
1706104800,147.507,147.512,147.378,147.448,681
1706105700,147.446,147.461,147.334,147.392,804
1706106600,147.392,147.395,147.198,147.245,1020
1706107500,147.246,147.326,147.228,147.29,890
1706108400,147.289,147.294,147.051,147.061,1428
1706109300,147.061,147.076,146.88,146.925,1890
1706110200,146.923,147.013,146.839,146.994,2196
1706111100,146.993,147.001,146.713,146.759,1617
1706112000,146.759,146.894,146.737,146.756,1543
1706112900,146.756,146.766,146.649,146.682,1350
1706113800,146.681,146.867,146.641,146.798,1832
1706114700,146.862,147.257,146.862,147.066,3294
1706115600,147.064,147.208,146.954,146.963,2471
1706116500,146.964,146.964,146.748,146.827,2112
1706117400,146.828,147.04,146.77,146.808,1943
1706118300,146.808,147.021,146.766,146.935,2049
1706119200,146.935,147.301,146.88,147.277,1697
1706120100,147.278,147.292,147.154,147.286,1534
1706121000,147.287,147.394,147.263,147.384,1178
1706121900,147.385,147.424,147.282,147.302,1080
1706122800,147.304,147.315,147.206,147.214,789
1706123700,147.215,147.306,147.159,147.175,728
1706124600,147.176,147.194,147.116,147.18,600
1706125500,147.18,147.203,147.134,147.181,671
1706126400,147.18,147.375,147.153,147.368,1364
1706127300,147.372,147.437,147.328,147.41,796
1706128200,147.409,147.458,147.35,147.443,874
1706129100,147.443,147.484,147.433,147.472,486
1706130000,147.472,147.497,147.449,147.459,439
1706130900,147.46,147.568,147.457,147.5,741
1706131800,147.498,147.572,147.481,147.559,614
1706132700,147.56,147.586,147.548,147.555,320
1706133600,147.555,147.559,147.502,147.552,461
1706134500,147.553,147.588,147.547,147.582,495
1706135400,147.585,147.588,147.542,147.558,357
1706136300,147.561,147.617,147.561,147.603,318
1706137200,147.603,147.629,147.56,147.56,162
1706138100,147.558,147.587,147.553,147.579,126
1706139000,147.579,147.596,147.562,147.577,125
1706139900,147.577,147.582,147.476,147.494,198
1706140800,147.482,147.482,147.439,147.457,23
1706141700,147.455,147.455,147.443,147.445,15
1706142600,147.445,147.445,147.383,147.419,115
1706143500,147.419,147.458,147.394,147.42,242
1706144400,147.42,147.611,147.42,147.562,366
1706145300,147.562,147.564,147.44,147.475,359
1706146200,147.475,147.551,147.475,147.545,260
1706147100,147.546,147.602,147.504,147.583,348
1706148000,147.582,147.698,147.539,147.646,883
1706148900,147.645,147.733,147.624,147.715,781
1706149800,147.714,147.736,147.648,147.666,727
1706150700,147.665,147.756,147.628,147.72,1223
1706151600,147.721,147.805,147.715,147.78,848
1706152500,147.78,147.844,147.737,147.743,791
1706153400,147.742,147.749,147.611,147.621,811
1706154300,147.62,147.706,147.606,147.657,961
1706155200,147.656,147.67,147.591,147.657,864
1706156100,147.657,147.688,147.626,147.633,550
1706157000,147.634,147.727,147.626,147.724,550
1706157900,147.725,147.76,147.684,147.704,481
1706158800,147.705,147.711,147.56,147.677,909
1706159700,147.677,147.693,147.631,147.656,404
1706160600,147.656,147.694,147.65,147.673,381
1706161500,147.673,147.675,147.606,147.645,372
1706162400,147.643,147.659,147.603,147.603,477
1706163300,147.602,147.65,147.578,147.646,515
1706164200,147.647,147.728,147.647,147.718,423
1706165100,147.72,147.773,147.72,147.764,382
1706166000,147.765,147.771,147.719,147.741,393
1706166900,147.742,147.784,147.705,147.729,560
1706167800,147.73,147.777,147.725,147.773,337
1706168700,147.773,147.848,147.764,147.792,465
1706169600,147.792,147.873,147.736,147.836,711
1706170500,147.837,147.855,147.788,147.801,568
1706171400,147.806,147.808,147.682,147.684,683
1706172300,147.683,147.738,147.665,147.715,436
1706173200,147.714,147.741,147.631,147.634,861
1706174100,147.636,147.681,147.608,147.615,875
1706175000,147.615,147.622,147.527,147.587,789
1706175900,147.591,147.67,147.562,147.661,913
1706176800,147.662,147.732,147.662,147.717,1249
1706177700,147.716,147.835,147.714,147.751,1058
1706178600,147.75,147.784,147.64,147.655,885
1706179500,147.656,147.706,147.644,147.648,521
1706180400,147.647,147.687,147.631,147.662,819
1706181300,147.663,147.672,147.624,147.642,760
1706182200,147.643,147.646,147.57,147.623,905
1706183100,147.624,147.657,147.6,147.633,852
1706184000,147.634,147.643,147.525,147.553,1009
1706184900,147.558,147.65,147.535,147.589,773
1706185800,147.588,147.596,147.507,147.544,601
1706186700,147.544,147.601,147.527,147.588,623
1706187600,147.587,147.653,147.577,147.609,651
1706188500,147.61,147.621,147.543,147.571,601
1706189400,147.572,147.588,147.468,147.497,816
1706190300,147.496,147.534,147.47,147.505,531
1706191200,147.505,147.583,147.49,147.572,583
1706192100,147.571,147.688,147.571,147.648,548
1706193000,147.648,147.671,147.619,147.649,545
1706193900,147.648,147.756,147.644,147.735,686
1706194800,147.738,147.747,147.615,147.66,873
1706195700,147.659,147.669,147.57,147.626,1345
1706196600,147.625,147.926,147.307,147.428,3692
1706197500,147.427,147.555,147.279,147.368,3220
1706198400,147.367,147.393,147.075,147.11,3187
1706199300,147.111,147.321,147.091,147.189,2386
1706200200,147.19,147.416,147.179,147.326,2742
1706201100,147.324,147.398,147.224,147.301,2044
1706202000,147.302,147.414,147.216,147.32,2377
1706202900,147.321,147.39,147.22,147.37,2205
1706203800,147.369,147.513,147.368,147.455,2033
1706204700,147.454,147.617,147.445,147.572,1551
1706205600,147.571,147.69,147.554,147.573,1504
1706206500,147.574,147.603,147.5,147.584,998
1706207400,147.585,147.723,147.585,147.682,1043
1706208300,147.68,147.757,147.668,147.694,995
1706209200,147.693,147.744,147.651,147.656,1069
1706210100,147.657,147.752,147.626,147.723,1095
1706211000,147.724,147.867,147.718,147.835,705
1706211900,147.836,147.893,147.807,147.822,847
1706212800,147.822,147.87,147.687,147.725,1313
1706213700,147.726,147.804,147.686,147.7,885
1706214600,147.7,147.794,147.691,147.788,675
1706215500,147.787,147.833,147.749,147.831,554
1706216400,147.833,147.868,147.777,147.809,537
1706217300,147.808,147.863,147.795,147.833,598
1706218200,147.832,147.838,147.765,147.8,525
1706219100,147.801,147.835,147.788,147.832,428
1706220000,147.831,147.839,147.764,147.778,490
1706220900,147.777,147.814,147.757,147.757,460
1706221800,147.756,147.77,147.723,147.725,441
1706222700,147.724,147.736,147.686,147.714,477
1706223600,147.713,147.736,147.708,147.719,168
1706224500,147.719,147.724,147.682,147.691,114
1706225400,147.691,147.692,147.664,147.668,109
1706226300,147.669,147.681,147.654,147.657,117
1706227200,147.628,147.628,147.576,147.594,15
1706228100,147.589,147.616,147.582,147.614,24
1706229000,147.614,147.658,147.612,147.634,50
1706229900,147.634,147.636,147.626,147.626,79
