time,open,high,low,close,volume
1642642200,114.365,114.39,114.324,114.337,290
1642644000,114.337,114.401,114.31,114.399,673
1642645800,114.396,114.401,114.242,114.259,1350
1642647600,114.258,114.285,114.017,114.061,2072
1642649400,114.062,114.201,114.032,114.194,1460
1642651200,114.194,114.308,114.179,114.268,1185
1642653000,114.267,114.335,114.249,114.281,958
1642654800,114.28,114.316,114.245,114.292,562
1642656600,114.292,114.446,114.292,114.383,1159
1642658400,114.381,114.413,114.366,114.377,948
1642660200,114.376,114.432,114.367,114.412,527
1642662000,114.414,114.539,114.412,114.448,1070
1642663800,114.448,114.482,114.429,114.464,677
1642665600,114.464,114.509,114.454,114.504,722
1642667400,114.505,114.509,114.428,114.435,471
1642669200,114.435,114.487,114.423,114.423,761
1642671000,114.424,114.456,114.333,114.388,1203
1642672800,114.387,114.389,114.283,114.331,1279
1642674600,114.328,114.369,114.273,114.28,1046
1642676400,114.279,114.289,114.177,114.207,1520
1642678200,114.207,114.284,114.195,114.282,982
1642680000,114.282,114.319,114.262,114.304,825
1642681800,114.304,114.316,114.23,114.247,691
1642683600,114.247,114.338,114.247,114.324,809
1642685400,114.323,114.323,114.269,114.269,606
1642687200,114.27,114.32,114.25,114.313,723
1642689000,114.313,114.326,114.215,114.238,853
1642690800,114.238,114.26,114.203,114.233,1135
1642692600,114.234,114.245,114.027,114.046,2259
1642694400,114.045,114.139,113.993,114.118,1881
1642696200,114.117,114.182,114.068,114.091,2113
1642698000,114.09,114.142,114.048,114.088,1721
1642699800,114.088,114.119,113.954,113.976,1972
1642701600,113.976,114.047,113.971,114.018,1775
1642703400,114.016,114.09,113.996,114.079,846
1642705200,114.081,114.114,114.044,114.1,689
1642707000,114.101,114.14,114.089,114.122,575
1642708800,114.122,114.162,114.106,114.144,608
1642710600,114.143,114.184,114.126,114.166,527
1642712400,114.167,114.187,114.126,114.127,463
1642714200,114.128,114.173,114.126,114.167,579
1642716000,114.166,114.169,114.092,114.134,695
1642717800,114.133,114.202,114.121,114.19,989
1642719600,114.189,114.219,114.105,114.117,482
1642721400,114.117,114.185,114.102,114.12,438
1642723200,114.112,114.134,114.08,114.099,190
1642725000,114.098,114.108,114.075,114.094,181
1642726800,114.095,114.107,113.85,113.919,1031
1642728600,113.919,114.022,113.919,113.982,535
1642730400,113.981,113.986,113.84,113.902,1810
1642732200,113.903,113.923,113.762,113.797,1842
1642734000,113.794,113.857,113.729,113.844,1894
1642735800,113.843,113.843,113.739,113.797,1764
1642737600,113.796,113.891,113.782,113.804,1101
1642739400,113.805,113.833,113.636,113.647,1542
1642741200,113.648,113.742,113.648,113.679,1056
1642743000,113.678,113.741,113.617,113.737,1153
1642744800,113.738,113.772,113.71,113.73,837
1642746600,113.729,113.781,113.721,113.76,809
1642748400,113.761,113.814,113.761,113.796,649
1642750200,113.796,113.864,113.793,113.847,822
1642752000,113.848,113.849,113.789,113.83,895
1642753800,113.831,113.884,113.789,113.827,793
1642755600,113.826,113.871,113.787,113.838,1291
1642757400,113.837,113.876,113.8,113.849,1071
1642759200,113.848,113.942,113.832,113.913,1710
1642761000,113.914,114.023,113.904,114.0,1275
1642762800,114.001,114.005,113.885,113.948,1205
1642764600,113.949,113.987,113.904,113.96,756
1642766400,113.96,113.971,113.886,113.898,770
1642768200,113.897,113.908,113.868,113.887,677
1642770000,113.888,113.891,113.802,113.826,899
1642771800,113.825,113.845,113.79,113.835,808
1642773600,113.836,113.856,113.715,113.715,1030
1642775400,113.715,113.767,113.686,113.753,1450
1642777200,113.752,113.843,113.743,113.807,1460
1642779000,113.807,113.82,113.653,113.669,1321
1642780800,113.669,113.707,113.604,113.656,1904
1642782600,113.655,113.804,113.614,113.662,2755
1642784400,113.662,113.709,113.595,113.652,2362
1642786200,113.652,113.751,113.626,113.66,2706
