time,open,high,low,close,volume
1635782400,1792.17,1795.71,1789.88,1793.91,5463
1635784200,1793.86,1795.59,1791.97,1793.85,4357
1635786000,1793.86,1794.13,1790.2,1791.34,3766
1635787800,1791.37,1793.07,1790.46,1792.95,3030
1635789600,1792.98,1792.99,1789.65,1791.92,2457
1635791400,1791.92,1792.64,1790.32,1791.86,1729
1635793200,1791.85,1794.56,1791.83,1794.49,1964
1635795000,1794.59,1794.91,1792.97,1793.46,2253
1635796800,1793.44,1794.7,1793.27,1794.11,1774
1635798600,1794.12,1794.23,1792.45,1792.59,1525
1635800400,1792.68,1792.69,1791.01,1791.44,1970
1635802200,1791.44,1792.76,1791.34,1792.53,1636
1635804000,1792.47,1793.51,1792.18,1793.19,996
1635805800,1793.18,1793.4,1792.68,1793.0,873
1635811200,1792.7,1793.06,1792.39,1792.49,484
1635813000,1792.48,1792.48,1791.48,1791.68,687
1635814800,1791.69,1791.89,1791.28,1791.87,573
1635816600,1791.83,1792.58,1791.55,1791.94,681
1635818400,1791.94,1792.49,1791.4,1792.07,1152
1635820200,1792.09,1792.56,1790.62,1791.28,1477
1635822000,1791.12,1791.27,1789.31,1790.86,2751
1635823800,1790.85,1791.21,1789.39,1790.09,2404
1635825600,1790.09,1791.01,1789.15,1790.94,1416
1635827400,1790.93,1791.91,1790.31,1790.59,1746
1635829200,1790.58,1791.25,1790.01,1790.45,1778
1635831000,1790.43,1791.61,1789.91,1791.06,1580
1635832800,1791.04,1793.2,1790.85,1793.05,1056
1635834600,1793.03,1794.34,1792.86,1793.93,1589
1635836400,1793.91,1793.93,1792.97,1793.36,1392
1635838200,1793.35,1794.8,1793.26,1793.57,2849
1635840000,1793.56,1795.18,1792.39,1794.34,2669
1635841800,1794.35,1795.64,1793.32,1793.67,2314
1635843600,1793.66,1796.27,1793.51,1795.05,2031
1635845400,1795.06,1795.67,1793.77,1794.05,1886
1635847200,1794.02,1794.47,1791.19,1792.1,3109
1635849000,1792.09,1794.7,1790.72,1794.65,2588
1635850800,1794.66,1794.8,1793.52,1794.64,1897
1635852600,1794.62,1795.48,1793.1,1794.97,2341
1635854400,1794.97,1795.45,1792.58,1793.51,2605
1635856200,1793.52,1793.56,1791.22,1792.32,2002
1635858000,1792.3,1792.88,1790.3,1792.06,2626
1635859800,1792.13,1792.49,1788.13,1789.94,3081
1635861600,1789.94,1794.43,1788.89,1791.4,4186
1635863400,1791.42,1792.9,1788.12,1791.08,4538
1635865200,1791.04,1792.13,1789.54,1791.38,4388
1635867000,1791.39,1793.36,1788.91,1790.61,5064
1635868800,1790.73,1791.78,1786.27,1788.57,4805
1635870600,1788.56,1791.88,1787.01,1790.67,4606
1635872400,1790.65,1793.14,1788.66,1790.08,4554
1635874200,1790.04,1790.75,1787.71,1788.72,4269
1635876000,1788.72,1789.61,1787.74,1787.8,2990
1635877800,1787.79,1788.89,1787.2,1788.27,2599
1635879600,1788.25,1789.28,1787.53,1787.67,1914
1635881400,1787.65,1788.34,1786.62,1787.33,2113
1635883200,1787.29,1787.41,1786.28,1786.83,1421
1635885000,1786.83,1787.38,1786.35,1786.94,1051
1635886800,1786.77,1787.61,1786.34,1787.24,768
1635888600,1787.24,1788.25,1787.16,1788.24,1186
1635890400,1788.26,1788.29,1787.31,1787.69,668
1635892200,1787.69,1787.83,1787.38,1787.7,580
1635897600,1787.57,1788.05,1787.0,1787.21,399
1635899400,1787.21,1788.1,1786.82,1786.93,445
1635901200,1786.94,1787.02,1786.57,1786.76,467
1635903000,1786.83,1787.45,1786.82,1787.08,417
1635904800,1787.04,1787.5,1782.77,1783.42,1082
1635906600,1783.45,1786.92,1782.36,1786.89,1273
1635908400,1786.88,1786.88,1783.96,1784.45,2239
1635910200,1784.47,1785.4,1783.14,1783.19,1829
1635912000,1783.2,1783.21,1780.8,1781.75,2111
1635913800,1781.73,1781.73,1780.08,1780.62,2328
1635915600,1780.62,1783.61,1779.13,1783.51,1896
1635917400,1783.51,1783.68,1782.43,1783.13,763
1635919200,1783.1,1783.26,1780.63,1781.35,823
1635921000,1781.34,1781.72,1780.91,1780.97,727
1635922800,1780.94,1781.64,1779.93,1781.55,907
1635924600,1781.57,1782.73,1781.17,1782.04,1570
1635926400,1782.04,1782.22,1778.13,1780.49,2196
1635928200,1780.48,1781.0,1779.55,1780.04,2314
1635930000,1780.03,1781.45,1779.33,1780.67,1844
1635931800,1780.68,1782.34,1779.95,1781.58,1670
1635933600,1781.58,1783.36,1780.89,1783.27,2638
1635935400,1783.26,1783.78,1781.16,1781.56,2380
1635937200,1781.55,1782.8,1781.07,1781.85,1728
1635939000,1781.81,1782.99,1781.05,1782.45,2086
1635940800,1782.41,1782.66,1780.4,1780.47,2599
1635942600,1780.48,1783.1,1780.39,1783.02,2013
1635944400,1783.01,1784.91,1782.53,1784.89,2231
1635946200,1784.87,1785.46,1783.8,1784.6,2231
1635948000,1784.59,1785.55,1782.77,1784.6,3571
1635949800,1784.61,1785.57,1774.28,1775.74,5560
1635951600,1775.7,1777.19,1768.59,1768.81,4964
1635953400,1768.81,1770.92,1765.48,1766.94,5712
1635955200,1766.94,1766.94,1760.2,1762.12,6052
1635957000,1762.13,1764.08,1758.73,1763.06,4635
1635958800,1762.92,1763.71,1760.52,1762.76,3082
1635960600,1762.8,1764.73,1761.89,1763.42,3858
1635962400,1763.42,1763.87,1762.02,1762.84,3199
1635964200,1762.8,1763.62,1761.88,1761.91,2683
1635966000,1761.97,1764.78,1761.62,1763.54,2520
1635967800,1763.54,1765.95,1763.45,1764.79,2421
1635969600,1764.83,1770.09,1761.3,1765.02,6385
1635971400,1765.01,1774.76,1762.29,1772.39,6599
1635973200,1772.67,1773.06,1768.38,1770.95,4730
1635975000,1770.96,1774.96,1770.3,1773.34,3243
1635976800,1773.42,1774.01,1771.47,1772.07,1507
1635978600,1772.08,1772.5,1769.15,1769.32,976
1635984000,1771.33,1775.4,1771.19,1774.51,740
1635985800,1774.53,1774.53,1773.14,1773.73,580
1635987600,1773.73,1775.04,1773.49,1775.04,778
1635989400,1775.03,1777.24,1774.7,1777.12,1131
